image_fname,mask_fname,folder,image_id,event_name,sample_id,event_type,non_damaged_pixels,light_damaged_pixels,medium_damaged_pixels,destroyed_pixels,non_damaged_buildings,light_damaged_buildings,medium_damaged_buildings,destroyed_buildings,fold
train/images/socal-fire_00000021_pre_disaster.png,train/masks/socal-fire_00000021_pre_disaster.png,train,socal-fire_00000021_pre_disaster,socal-fire,21,pre,0,0,0,0,0,0,0,0,1
train/images/guatemala-volcano_00000021_pre_disaster.png,train/masks/guatemala-volcano_00000021_pre_disaster.png,train,guatemala-volcano_00000021_pre_disaster,guatemala-volcano,21,pre,22267,0,0,0,20,0,0,0,3
train/images/santa-rosa-wildfire_00000021_pre_disaster.png,train/masks/santa-rosa-wildfire_00000021_pre_disaster.png,train,santa-rosa-wildfire_00000021_pre_disaster,santa-rosa-wildfire,21,pre,12210,0,0,0,13,0,0,0,3
train/images/palu-tsunami_00000021_pre_disaster.png,train/masks/palu-tsunami_00000021_pre_disaster.png,train,palu-tsunami_00000021_pre_disaster,palu-tsunami,21,pre,167500,0,0,0,120,0,0,0,2
train/images/hurricane-matthew_00000022_pre_disaster.png,train/masks/hurricane-matthew_00000022_pre_disaster.png,train,hurricane-matthew_00000022_pre_disaster,hurricane-matthew,22,pre,8056,0,0,0,43,0,0,0,4
train/images/hurricane-michael_00000022_pre_disaster.png,train/masks/hurricane-michael_00000022_pre_disaster.png,train,hurricane-michael_00000022_pre_disaster,hurricane-michael,22,pre,48901,0,0,0,21,0,0,0,0
train/images/mexico-earthquake_00000022_pre_disaster.png,train/masks/mexico-earthquake_00000022_pre_disaster.png,train,mexico-earthquake_00000022_pre_disaster,mexico-earthquake,22,pre,214120,0,0,0,49,0,0,0,4
train/images/hurricane-harvey_00000023_pre_disaster.png,train/masks/hurricane-harvey_00000023_pre_disaster.png,train,hurricane-harvey_00000023_pre_disaster,hurricane-harvey,23,pre,195601,0,0,0,96,0,0,0,0
train/images/mexico-earthquake_00000025_pre_disaster.png,train/masks/mexico-earthquake_00000025_pre_disaster.png,train,mexico-earthquake_00000025_pre_disaster,mexico-earthquake,25,pre,80145,0,0,0,60,0,0,0,0
train/images/midwest-flooding_00000026_pre_disaster.png,train/masks/midwest-flooding_00000026_pre_disaster.png,train,midwest-flooding_00000026_pre_disaster,midwest-flooding,26,pre,132050,0,0,0,98,0,0,0,2
train/images/hurricane-matthew_00000027_pre_disaster.png,train/masks/hurricane-matthew_00000027_pre_disaster.png,train,hurricane-matthew_00000027_pre_disaster,hurricane-matthew,27,pre,175212,0,0,0,236,0,0,0,1
train/images/palu-tsunami_00000027_pre_disaster.png,train/masks/palu-tsunami_00000027_pre_disaster.png,train,palu-tsunami_00000027_pre_disaster,palu-tsunami,27,pre,125057,0,0,0,129,0,0,0,2
train/images/mexico-earthquake_00000028_pre_disaster.png,train/masks/mexico-earthquake_00000028_pre_disaster.png,train,mexico-earthquake_00000028_pre_disaster,mexico-earthquake,28,pre,261566,0,0,0,78,0,0,0,0
train/images/hurricane-matthew_00000028_pre_disaster.png,train/masks/hurricane-matthew_00000028_pre_disaster.png,train,hurricane-matthew_00000028_pre_disaster,hurricane-matthew,28,pre,38320,0,0,0,86,0,0,0,2
train/images/santa-rosa-wildfire_00000028_pre_disaster.png,train/masks/santa-rosa-wildfire_00000028_pre_disaster.png,train,santa-rosa-wildfire_00000028_pre_disaster,santa-rosa-wildfire,28,pre,5281,0,0,0,15,0,0,0,3
train/images/palu-tsunami_00000028_pre_disaster.png,train/masks/palu-tsunami_00000028_pre_disaster.png,train,palu-tsunami_00000028_pre_disaster,palu-tsunami,28,pre,13101,0,0,0,11,0,0,0,0
train/images/hurricane-matthew_00000029_pre_disaster.png,train/masks/hurricane-matthew_00000029_pre_disaster.png,train,hurricane-matthew_00000029_pre_disaster,hurricane-matthew,29,pre,13050,0,0,0,60,0,0,0,3
train/images/hurricane-florence_00000029_pre_disaster.png,train/masks/hurricane-florence_00000029_pre_disaster.png,train,hurricane-florence_00000029_pre_disaster,hurricane-florence,29,pre,1021,0,0,0,5,0,0,0,1
train/images/hurricane-michael_00000030_pre_disaster.png,train/masks/hurricane-michael_00000030_pre_disaster.png,train,hurricane-michael_00000030_pre_disaster,hurricane-michael,30,pre,67040,0,0,0,59,0,0,0,0
train/images/hurricane-michael_00000031_pre_disaster.png,train/masks/hurricane-michael_00000031_pre_disaster.png,train,hurricane-michael_00000031_pre_disaster,hurricane-michael,31,pre,41280,0,0,0,28,0,0,0,2
train/images/socal-fire_00000031_pre_disaster.png,train/masks/socal-fire_00000031_pre_disaster.png,train,socal-fire_00000031_pre_disaster,socal-fire,31,pre,210867,0,0,0,121,0,0,0,4
train/images/palu-tsunami_00000032_pre_disaster.png,train/masks/palu-tsunami_00000032_pre_disaster.png,train,palu-tsunami_00000032_pre_disaster,palu-tsunami,32,pre,38632,0,0,0,35,0,0,0,1
train/images/hurricane-michael_00000032_pre_disaster.png,train/masks/hurricane-michael_00000032_pre_disaster.png,train,hurricane-michael_00000032_pre_disaster,hurricane-michael,32,pre,16196,0,0,0,23,0,0,0,0
train/images/hurricane-harvey_00000033_pre_disaster.png,train/masks/hurricane-harvey_00000033_pre_disaster.png,train,hurricane-harvey_00000033_pre_disaster,hurricane-harvey,33,pre,21389,0,0,0,20,0,0,0,1
train/images/hurricane-matthew_00000033_pre_disaster.png,train/masks/hurricane-matthew_00000033_pre_disaster.png,train,hurricane-matthew_00000033_pre_disaster,hurricane-matthew,33,pre,24876,0,0,0,39,0,0,0,1
train/images/palu-tsunami_00000035_pre_disaster.png,train/masks/palu-tsunami_00000035_pre_disaster.png,train,palu-tsunami_00000035_pre_disaster,palu-tsunami,35,pre,557,0,0,0,2,0,0,0,4
train/images/hurricane-harvey_00000036_pre_disaster.png,train/masks/hurricane-harvey_00000036_pre_disaster.png,train,hurricane-harvey_00000036_pre_disaster,hurricane-harvey,36,pre,5870,0,0,0,6,0,0,0,4
train/images/hurricane-harvey_00000037_pre_disaster.png,train/masks/hurricane-harvey_00000037_pre_disaster.png,train,hurricane-harvey_00000037_pre_disaster,hurricane-harvey,37,pre,6202,0,0,0,2,0,0,0,0
train/images/hurricane-matthew_00000037_pre_disaster.png,train/masks/hurricane-matthew_00000037_pre_disaster.png,train,hurricane-matthew_00000037_pre_disaster,hurricane-matthew,37,pre,187865,0,0,0,199,0,0,0,2
train/images/palu-tsunami_00000037_pre_disaster.png,train/masks/palu-tsunami_00000037_pre_disaster.png,train,palu-tsunami_00000037_pre_disaster,palu-tsunami,37,pre,165803,0,0,0,137,0,0,0,4
train/images/santa-rosa-wildfire_00000038_pre_disaster.png,train/masks/santa-rosa-wildfire_00000038_pre_disaster.png,train,santa-rosa-wildfire_00000038_pre_disaster,santa-rosa-wildfire,38,pre,187815,0,0,0,104,0,0,0,0
train/images/palu-tsunami_00000038_pre_disaster.png,train/masks/palu-tsunami_00000038_pre_disaster.png,train,palu-tsunami_00000038_pre_disaster,palu-tsunami,38,pre,160449,0,0,0,180,0,0,0,1
train/images/hurricane-florence_00000039_pre_disaster.png,train/masks/hurricane-florence_00000039_pre_disaster.png,train,hurricane-florence_00000039_pre_disaster,hurricane-florence,39,pre,1368,0,0,0,4,0,0,0,4
train/images/palu-tsunami_00000041_pre_disaster.png,train/masks/palu-tsunami_00000041_pre_disaster.png,train,palu-tsunami_00000041_pre_disaster,palu-tsunami,41,pre,118703,0,0,0,43,0,0,0,1
train/images/hurricane-matthew_00000042_pre_disaster.png,train/masks/hurricane-matthew_00000042_pre_disaster.png,train,hurricane-matthew_00000042_pre_disaster,hurricane-matthew,42,pre,15124,0,0,0,43,0,0,0,2
train/images/hurricane-michael_00000042_pre_disaster.png,train/masks/hurricane-michael_00000042_pre_disaster.png,train,hurricane-michael_00000042_pre_disaster,hurricane-michael,42,pre,158975,0,0,0,125,0,0,0,4
train/images/santa-rosa-wildfire_00000043_pre_disaster.png,train/masks/santa-rosa-wildfire_00000043_pre_disaster.png,train,santa-rosa-wildfire_00000043_pre_disaster,santa-rosa-wildfire,43,pre,297,0,0,0,1,0,0,0,0
train/images/hurricane-harvey_00000044_pre_disaster.png,train/masks/hurricane-harvey_00000044_pre_disaster.png,train,hurricane-harvey_00000044_pre_disaster,hurricane-harvey,44,pre,605,0,0,0,2,0,0,0,4
train/images/santa-rosa-wildfire_00000045_pre_disaster.png,train/masks/santa-rosa-wildfire_00000045_pre_disaster.png,train,santa-rosa-wildfire_00000045_pre_disaster,santa-rosa-wildfire,45,pre,106385,0,0,0,102,0,0,0,2
train/images/hurricane-florence_00000046_pre_disaster.png,train/masks/hurricane-florence_00000046_pre_disaster.png,train,hurricane-florence_00000046_pre_disaster,hurricane-florence,46,pre,231904,0,0,0,153,0,0,0,1
train/images/midwest-flooding_00000048_pre_disaster.png,train/masks/midwest-flooding_00000048_pre_disaster.png,train,midwest-flooding_00000048_pre_disaster,midwest-flooding,48,pre,259919,0,0,0,131,0,0,0,3
train/images/socal-fire_00000049_pre_disaster.png,train/masks/socal-fire_00000049_pre_disaster.png,train,socal-fire_00000049_pre_disaster,socal-fire,49,pre,5674,0,0,0,14,0,0,0,2
train/images/midwest-flooding_00000050_pre_disaster.png,train/masks/midwest-flooding_00000050_pre_disaster.png,train,midwest-flooding_00000050_pre_disaster,midwest-flooding,50,pre,264954,0,0,0,298,0,0,0,1
train/images/santa-rosa-wildfire_00000052_pre_disaster.png,train/masks/santa-rosa-wildfire_00000052_pre_disaster.png,train,santa-rosa-wildfire_00000052_pre_disaster,santa-rosa-wildfire,52,pre,70188,0,0,0,32,0,0,0,3
train/images/socal-fire_00000052_pre_disaster.png,train/masks/socal-fire_00000052_pre_disaster.png,train,socal-fire_00000052_pre_disaster,socal-fire,52,pre,4280,0,0,0,2,0,0,0,3
train/images/hurricane-florence_00000056_pre_disaster.png,train/masks/hurricane-florence_00000056_pre_disaster.png,train,hurricane-florence_00000056_pre_disaster,hurricane-florence,56,pre,0,0,0,0,0,0,0,0,0
train/images/midwest-flooding_00000056_pre_disaster.png,train/masks/midwest-flooding_00000056_pre_disaster.png,train,midwest-flooding_00000056_pre_disaster,midwest-flooding,56,pre,167539,0,0,0,84,0,0,0,2
train/images/hurricane-michael_00000057_pre_disaster.png,train/masks/hurricane-michael_00000057_pre_disaster.png,train,hurricane-michael_00000057_pre_disaster,hurricane-michael,57,pre,10025,0,0,0,5,0,0,0,2
train/images/hurricane-matthew_00000057_pre_disaster.png,train/masks/hurricane-matthew_00000057_pre_disaster.png,train,hurricane-matthew_00000057_pre_disaster,hurricane-matthew,57,pre,9285,0,0,0,36,0,0,0,4
train/images/mexico-earthquake_00000058_pre_disaster.png,train/masks/mexico-earthquake_00000058_pre_disaster.png,train,mexico-earthquake_00000058_pre_disaster,mexico-earthquake,58,pre,262502,0,0,0,189,0,0,0,3
train/images/hurricane-harvey_00000058_pre_disaster.png,train/masks/hurricane-harvey_00000058_pre_disaster.png,train,hurricane-harvey_00000058_pre_disaster,hurricane-harvey,58,pre,742,0,0,0,2,0,0,0,2
train/images/mexico-earthquake_00000061_pre_disaster.png,train/masks/mexico-earthquake_00000061_pre_disaster.png,train,mexico-earthquake_00000061_pre_disaster,mexico-earthquake,61,pre,356060,0,0,0,239,0,0,0,3
train/images/hurricane-harvey_00000062_pre_disaster.png,train/masks/hurricane-harvey_00000062_pre_disaster.png,train,hurricane-harvey_00000062_pre_disaster,hurricane-harvey,62,pre,28595,0,0,0,13,0,0,0,2
train/images/palu-tsunami_00000062_pre_disaster.png,train/masks/palu-tsunami_00000062_pre_disaster.png,train,palu-tsunami_00000062_pre_disaster,palu-tsunami,62,pre,329792,0,0,0,283,0,0,0,4
train/images/hurricane-harvey_00000063_pre_disaster.png,train/masks/hurricane-harvey_00000063_pre_disaster.png,train,hurricane-harvey_00000063_pre_disaster,hurricane-harvey,63,pre,1271,0,0,0,2,0,0,0,1
train/images/mexico-earthquake_00000063_pre_disaster.png,train/masks/mexico-earthquake_00000063_pre_disaster.png,train,mexico-earthquake_00000063_pre_disaster,mexico-earthquake,63,pre,374102,0,0,0,190,0,0,0,1
train/images/hurricane-harvey_00000064_pre_disaster.png,train/masks/hurricane-harvey_00000064_pre_disaster.png,train,hurricane-harvey_00000064_pre_disaster,hurricane-harvey,64,pre,5086,0,0,0,9,0,0,0,1
train/images/mexico-earthquake_00000065_pre_disaster.png,train/masks/mexico-earthquake_00000065_pre_disaster.png,train,mexico-earthquake_00000065_pre_disaster,mexico-earthquake,65,pre,425764,0,0,0,135,0,0,0,4
train/images/santa-rosa-wildfire_00000066_pre_disaster.png,train/masks/santa-rosa-wildfire_00000066_pre_disaster.png,train,santa-rosa-wildfire_00000066_pre_disaster,santa-rosa-wildfire,66,pre,288447,0,0,0,145,0,0,0,3
train/images/hurricane-harvey_00000068_pre_disaster.png,train/masks/hurricane-harvey_00000068_pre_disaster.png,train,hurricane-harvey_00000068_pre_disaster,hurricane-harvey,68,pre,10929,0,0,0,10,0,0,0,1
train/images/santa-rosa-wildfire_00000068_pre_disaster.png,train/masks/santa-rosa-wildfire_00000068_pre_disaster.png,train,santa-rosa-wildfire_00000068_pre_disaster,santa-rosa-wildfire,68,pre,34566,0,0,0,40,0,0,0,0
train/images/mexico-earthquake_00000069_pre_disaster.png,train/masks/mexico-earthquake_00000069_pre_disaster.png,train,mexico-earthquake_00000069_pre_disaster,mexico-earthquake,69,pre,302297,0,0,0,131,0,0,0,1
train/images/hurricane-michael_00000069_pre_disaster.png,train/masks/hurricane-michael_00000069_pre_disaster.png,train,hurricane-michael_00000069_pre_disaster,hurricane-michael,69,pre,107412,0,0,0,85,0,0,0,3
train/images/hurricane-michael_00000070_pre_disaster.png,train/masks/hurricane-michael_00000070_pre_disaster.png,train,hurricane-michael_00000070_pre_disaster,hurricane-michael,70,pre,1937,0,0,0,2,0,0,0,4
train/images/santa-rosa-wildfire_00000071_pre_disaster.png,train/masks/santa-rosa-wildfire_00000071_pre_disaster.png,train,santa-rosa-wildfire_00000071_pre_disaster,santa-rosa-wildfire,71,pre,90619,0,0,0,102,0,0,0,1
train/images/midwest-flooding_00000071_pre_disaster.png,train/masks/midwest-flooding_00000071_pre_disaster.png,train,midwest-flooding_00000071_pre_disaster,midwest-flooding,71,pre,160658,0,0,0,174,0,0,0,0
train/images/hurricane-michael_00000071_pre_disaster.png,train/masks/hurricane-michael_00000071_pre_disaster.png,train,hurricane-michael_00000071_pre_disaster,hurricane-michael,71,pre,29184,0,0,0,22,0,0,0,3
train/images/midwest-flooding_00000072_pre_disaster.png,train/masks/midwest-flooding_00000072_pre_disaster.png,train,midwest-flooding_00000072_pre_disaster,midwest-flooding,72,pre,169888,0,0,0,175,0,0,0,3
train/images/hurricane-michael_00000074_pre_disaster.png,train/masks/hurricane-michael_00000074_pre_disaster.png,train,hurricane-michael_00000074_pre_disaster,hurricane-michael,74,pre,230737,0,0,0,170,0,0,0,4
train/images/santa-rosa-wildfire_00000074_pre_disaster.png,train/masks/santa-rosa-wildfire_00000074_pre_disaster.png,train,santa-rosa-wildfire_00000074_pre_disaster,santa-rosa-wildfire,74,pre,328835,0,0,0,106,0,0,0,3
train/images/socal-fire_00000074_pre_disaster.png,train/masks/socal-fire_00000074_pre_disaster.png,train,socal-fire_00000074_pre_disaster,socal-fire,74,pre,0,0,0,0,0,0,0,0,2
train/images/socal-fire_00000075_pre_disaster.png,train/masks/socal-fire_00000075_pre_disaster.png,train,socal-fire_00000075_pre_disaster,socal-fire,75,pre,4413,0,0,0,7,0,0,0,2
train/images/mexico-earthquake_00000076_pre_disaster.png,train/masks/mexico-earthquake_00000076_pre_disaster.png,train,mexico-earthquake_00000076_pre_disaster,mexico-earthquake,76,pre,323105,0,0,0,133,0,0,0,3
train/images/hurricane-matthew_00000076_pre_disaster.png,train/masks/hurricane-matthew_00000076_pre_disaster.png,train,hurricane-matthew_00000076_pre_disaster,hurricane-matthew,76,pre,2554,0,0,0,7,0,0,0,3
train/images/hurricane-florence_00000076_pre_disaster.png,train/masks/hurricane-florence_00000076_pre_disaster.png,train,hurricane-florence_00000076_pre_disaster,hurricane-florence,76,pre,8223,0,0,0,9,0,0,0,2
train/images/hurricane-florence_00000077_pre_disaster.png,train/masks/hurricane-florence_00000077_pre_disaster.png,train,hurricane-florence_00000077_pre_disaster,hurricane-florence,77,pre,39501,0,0,0,30,0,0,0,3
train/images/socal-fire_00000077_pre_disaster.png,train/masks/socal-fire_00000077_pre_disaster.png,train,socal-fire_00000077_pre_disaster,socal-fire,77,pre,0,0,0,0,0,0,0,0,1
train/images/hurricane-harvey_00000078_pre_disaster.png,train/masks/hurricane-harvey_00000078_pre_disaster.png,train,hurricane-harvey_00000078_pre_disaster,hurricane-harvey,78,pre,125872,0,0,0,133,0,0,0,2
train/images/hurricane-michael_00000079_pre_disaster.png,train/masks/hurricane-michael_00000079_pre_disaster.png,train,hurricane-michael_00000079_pre_disaster,hurricane-michael,79,pre,97649,0,0,0,69,0,0,0,0
train/images/mexico-earthquake_00000080_pre_disaster.png,train/masks/mexico-earthquake_00000080_pre_disaster.png,train,mexico-earthquake_00000080_pre_disaster,mexico-earthquake,80,pre,436350,0,0,0,128,0,0,0,0
train/images/palu-tsunami_00000081_pre_disaster.png,train/masks/palu-tsunami_00000081_pre_disaster.png,train,palu-tsunami_00000081_pre_disaster,palu-tsunami,81,pre,606837,0,0,0,118,0,0,0,2
train/images/palu-tsunami_00000082_pre_disaster.png,train/masks/palu-tsunami_00000082_pre_disaster.png,train,palu-tsunami_00000082_pre_disaster,palu-tsunami,82,pre,506443,0,0,0,125,0,0,0,4
train/images/hurricane-michael_00000082_pre_disaster.png,train/masks/hurricane-michael_00000082_pre_disaster.png,train,hurricane-michael_00000082_pre_disaster,hurricane-michael,82,pre,82011,0,0,0,85,0,0,0,2
train/images/hurricane-florence_00000082_pre_disaster.png,train/masks/hurricane-florence_00000082_pre_disaster.png,train,hurricane-florence_00000082_pre_disaster,hurricane-florence,82,pre,1917,0,0,0,3,0,0,0,3
train/images/santa-rosa-wildfire_00000082_pre_disaster.png,train/masks/santa-rosa-wildfire_00000082_pre_disaster.png,train,santa-rosa-wildfire_00000082_pre_disaster,santa-rosa-wildfire,82,pre,4657,0,0,0,4,0,0,0,0
